time,subject,fuzzer,run,cov_type,cov
1761457681,lightftp,aflnet,3,l_per,39.8
1761457681,lightftp,aflnet,3,l_abs,449
1761457681,lightftp,aflnet,3,b_per,25.1
1761457681,lightftp,aflnet,3,b_abs,196
1761457706,lightftp,aflnet,3,l_per,40.6
1761457706,lightftp,aflnet,3,l_abs,458
1761457706,lightftp,aflnet,3,b_per,25.4
1761457706,lightftp,aflnet,3,b_abs,199
1761457747,lightftp,aflnet,3,l_per,41.2
1761457747,lightftp,aflnet,3,l_abs,465
1761457747,lightftp,aflnet,3,b_per,25.6
1761457747,lightftp,aflnet,3,b_abs,200
1761457797,lightftp,aflnet,3,l_per,41.8
1761457797,lightftp,aflnet,3,l_abs,471
1761457797,lightftp,aflnet,3,b_per,25.8
1761457797,lightftp,aflnet,3,b_abs,202
1761457883,lightftp,aflnet,3,l_per,42.6
1761457883,lightftp,aflnet,3,l_abs,481
1761457883,lightftp,aflnet,3,b_per,26.2
1761457883,lightftp,aflnet,3,b_abs,205
1761457912,lightftp,aflnet,3,l_per,43.3
1761457912,lightftp,aflnet,3,l_abs,488
1761457912,lightftp,aflnet,3,b_per,26.5
1761457912,lightftp,aflnet,3,b_abs,207
1761457969,lightftp,aflnet,3,l_per,43.7
1761457969,lightftp,aflnet,3,l_abs,493
1761457969,lightftp,aflnet,3,b_per,26.6
1761457969,lightftp,aflnet,3,b_abs,208
1761458022,lightftp,aflnet,3,l_per,44.1
1761458022,lightftp,aflnet,3,l_abs,498
1761458022,lightftp,aflnet,3,b_per,27.1
1761458022,lightftp,aflnet,3,b_abs,212
1761458061,lightftp,aflnet,3,l_per,44.2
1761458061,lightftp,aflnet,3,l_abs,499
1761458061,lightftp,aflnet,3,b_per,27.2
1761458061,lightftp,aflnet,3,b_abs,213
1761458124,lightftp,aflnet,3,l_per,44.3
1761458124,lightftp,aflnet,3,l_abs,500
1761458124,lightftp,aflnet,3,b_per,27.4
1761458124,lightftp,aflnet,3,b_abs,214
1761458163,lightftp,aflnet,3,l_per,44.7
1761458163,lightftp,aflnet,3,l_abs,504
1761458163,lightftp,aflnet,3,b_per,27.7
1761458163,lightftp,aflnet,3,b_abs,217
1761458256,lightftp,aflnet,3,l_per,45.0
1761458256,lightftp,aflnet,3,l_abs,508
1761458256,lightftp,aflnet,3,b_per,28.0
1761458256,lightftp,aflnet,3,b_abs,219
1761458322,lightftp,aflnet,3,l_per,45.4
1761458322,lightftp,aflnet,3,l_abs,512
1761458322,lightftp,aflnet,3,b_per,28.3
1761458322,lightftp,aflnet,3,b_abs,221
1761458340,lightftp,aflnet,3,l_per,45.5
1761458340,lightftp,aflnet,3,l_abs,513
1761458340,lightftp,aflnet,3,b_per,28.5
1761458340,lightftp,aflnet,3,b_abs,223
1761458383,lightftp,aflnet,3,l_per,45.5
1761458383,lightftp,aflnet,3,l_abs,513
1761458383,lightftp,aflnet,3,b_per,28.6
1761458383,lightftp,aflnet,3,b_abs,224
1761458436,lightftp,aflnet,3,l_per,45.5
1761458436,lightftp,aflnet,3,l_abs,513
1761458436,lightftp,aflnet,3,b_per,28.6
1761458436,lightftp,aflnet,3,b_abs,224
1761458510,lightftp,aflnet,3,l_per,45.7
1761458510,lightftp,aflnet,3,l_abs,516
1761458510,lightftp,aflnet,3,b_per,28.9
